"","target","CUSTOMER_PROFILE_CODE","LOCATIONNAME","VEHICLEMODEL","ASSETCOST","LOANAMOUNT","EMI","TENURE","ADDRESSCONFIRMED","DESIGNATION","RESIDENCETYPE","NOOFYEARSINSAMECITY","RESIDENCESTABILITY","RESIDENCELOCALITY","BUSINESSCATEGORY","BUSINESSMARGINGROSS","INCOMEEMPLOYMENT","STABILITYINBUSINESS","STABILITYCONFIRMED","STABILTIYCONFIRMEDTHRU","ISFAMILYINVOLVED","OFFICETYPE","MONTHLYTURNOVER","STOCKVALUEINHAND","BUSINESSMARGINNET","NOOFEMPLOYEES","NAMEBOARDSEEN","OFFICELOCALITY","ISRESIDENCECOMEOFFICE","ENDUSEOFLOAN","ENDUSEOFASSET","ASSETLOCATION","NEIGHBOURREF","POLITICALLINK","PROFESSIONTYPE","CURRENTBUSINESSSTABILITY","APPLICANTDESIGNATION","ASSETREGMONTH","ASSETREGYEAR","LANDOWNERSHIP","IRRIGATIONSOURCE","CROPSCULTIVATED","DISTFROMSCELOCATION","DISTFROMDEALERLOCATION","IMGCONFIRM","TOTALEXPENSEPERMONTH","NETINCOMEPERMONTH","FOIR","Target","UID","Location"
"11","Good","PROF356","COIMBATORE ","FORD FIGO ZXI DURATORQ 1.4 DIESEL 2010",355000,255000,7767,48,"Y","APPLICANT","R",40,11,3,"PR005",37,3e+05,20,"Y",1,"N","O",1e+06,1500000,"30","14","N",1,"N","BUSINESS IMPROVEMENT",1,"COIMBATORE","POSITIVE","N","SEP",8,"PROP",NA,0,NA,NA,NA,0,0,"Y",71709,228291,26,2,11,10
"12","Bad","PROF063","COIMBATORE ","TOYOTA ETIOS GD DIESEL 2011",700000,354250,11159,48,"Y","APPLICANT","R",15,4,3,"PR006",0,50000,15,"N",NA,"N","R",0,0,"0","15","Y",1,"Y","SALE-PURCHASE TOYOTA ETIOS",1,"COIMBATORE","POSITIVE","N","SEP",8,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",25959,24041,65,1,12,10
"13","Bad","PROF213","KOLHAPUR","MARUTI SUZUKI OMNI 8 SEATER PETROL 2013",220000,154250,4623,48,"Y","SELF","L",15,15,3,"PR002",0,14000,15,"N",5,"Y","O",0,0,"0","0","Y",2,"N","FOR USED CAR PURCHASE",1,"KUDAL","POSITIVE","N","SAL",12,"CLURK",NA,0,NA,NA,NA,0,0,"Y",3000,11000,42,1,13,11
"14","Good","PROF227","CHENNAI I","HYUNDAI VERNA FLUIDIC 1.6 SX CRDI DIESEL 2012",400000,300000,10696,36,"Y","HIRER","R",5,2,3,"PR002",0,80000,12,"Y",3,"N","R",0,0,"0","0","N",2,"N","CAR PURCHASE AND VEHICLE WILL USE BY APPT AND HIS FATHER IN LAW",4,"CHENNAI AND RAMNAD","POSITIVE","N","SAL",11,"MANAGER PROJECTS INSURANCE",NA,0,NA,NA,NA,0,0,"Y",20000,60000,18,2,14,12
"15","Bad","PROF130","ERNAKULAM","MARUTI SUZUKI SWIFT DZIRE ZDI DIESEL 2008",360000,250000,9039,36,"Y","PROPRIETOR","O",51,51,6,"PR009",50,105000,35,"Y",4,"N","O",5e+06,500000,"0","15","Y",2,"Y","VEHICLE PURCHASE",1,"RAJAKUMARI","POSITIVE","N","AGR",35,"INDIVIDUAL",NA,0,NA,NA,NA,0,0,"Y",20000,85000,11,1,15,13
"16","Good","PROF245","VISAKHAPATNAM","MARUTI SUZUKI ERTIGA VXI PETROL 2014",350000,300000,10621,36,"Y","SELF","O",25,14,3,"PR005",0,40000,24,"Y",5,"Y","O",0,0,"0","2","Y",1,"N","ASSET TO BE USED BY APPLICANT",1,"VIZAG","POSITIVE","N","SEP",24,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",10000,30000,35,2,16,14
"17","Bad","PROF247","VIJAYAWADA","MARUTI SUZUKI SWIFT LDI DIESEL 2007",250000,204250,10696,24,"Y","APPLICANT","O",40,40,3,"PR005",0,90000,20,"Y",5,"N","O",0,0,"0","0","N",1,"Y","FOR PURCHASE OF VEHICLE",1,"POSANAPALLI","POSITIVE","N","SEP",5,"REAL ESTATE",NA,0,NA,NA,NA,0,0,"Y",28500,61500,32,1,17,15
"18","Good","PROF026","JABALPUR","MARUTI SUZUKI WAGON R LXI BS III PETROL 2009",180000,111250,6994,18,"Y","SELF","O",45,45,3,"PR006",0,60000,25,"Y",5,"N","R",60000,0,"0","1","Y",2,"N","REQUIRE LOAN HIS PERSONAL AND BUSINESS ",1,"JABALPUR","POSITIVE","N","SEP",25,"SELF",NA,0,NA,NA,NA,0,0,"Y",30000,30000,54,2,18,16
"19","Bad","PROF252","CHENNAI II","MARUTI SUZUKI SWIFT VDI DIESEL 2011",400000,329250,10194,48,"Y","APPLICANT","O",30,7,3,"PR007",0,60000,10,"Y",1,"Y","O",0,0,"0","0","N",1,"N","APPLICANT ",1,"SAME","POSITIVE","N","AGR",10,"PROP",NA,0,NA,NA,NA,0,0,"Y",10000,50000,20,1,19,17
"20","Good","PROF297","COIMBATORE ","MARUTI SUZUKI ALTO 800 LXI PETROL 2014",236994,217250,6728,48,"Y","APPLICANT ","O",4,4,3,"PR005",0,50000,4,"Y",3,"N","R",2e+05,0,"0","15","Y",2,"N","PERSONAL USE ONLY",1,"TIRUPUR","POSITIVE","N","SEP",4,"PROP",NA,0,NA,NA,NA,0,0,"Y",0,50000,13,2,20,10
"21","Bad","PROF235","INDORE ","CHEVROLET TAVERA NEO 3 LS 10 STR BS III DIESEL 2013",800000,608500,16481,60,"Y","PROPRIETOR","O",6,6,3,"PR005",0,5e+05,6,"Y",1,"Y","O",0,0,"0","5","Y",2,"N","PURCHASE OF VEHICLE ",1,"DEWAS","POSITIVE","N","SEP",6,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,1,21,18
"22","Good","CP02","VIJAYAWADA","MARUTI SUZUKI OMNI 8 SEATER PETROL 2012",200000,129250,6625,24,"Y","APPLICANT ","O",5,5,3,"PR005",0,40000,11,"Y",5,"N","O",0,0,"0","0","Y",1,"Y","FOR PPURCHASE OF VEHICLE ",1,"ANANTHAVARAPPADU","POSITIVE","N","SEP",5,"PASTOR ",NA,0,NA,NA,NA,0,0,"Y",20000,20000,33,2,22,15
"23","Bad","PROF096","TIRUNELVELI ","MAHINDRA SCORPIO LX BS III DIESEL 2009",390000,254250,10700,30,"Y","APPLICANT","O",45,30,3,"PR003",0,60000,22,"Y",5,"N","R",0,0,"0","30","Y",1,"N","FAMILY",1,NA,"POSITIVE","N","SEP",22,"OWNER",NA,0,NA,NA,NA,0,0,"Y",0,60000,18,1,23,19
"24","Bad","PROF252","RAIPUR ","MARUTI SUZUKI ERTIGA ZXI PETROL 2012",550000,354250,17787,24,"Y","SELF","O",20,20,3,"PR005",30,7000,10,"Y",5,"N","O",30000,500000,"20","3","N",2,"N","PURCHASE OF VEHICLE",1,"MUNGALI","POSITIVE","N","SEP",10,"FARMER",NA,0,NA,NA,NA,0,0,"Y",1000,6000,296,1,24,20
"25","Good","PROF096","GWALIOR ","MARUTI SUZUKI SWIFT DZIRE VDI DIESEL 2012",400000,304250,8621,48,"Y","SELF","O",20,1,3,"PR006",0,48000,10,"Y",1,"N","O",0,0,"0","5","Y",1,"N","FOR PERSONAL USAGES",1,NA,"POSITIVE","N","SEP",3,"OWNER",NA,0,NA,NA,NA,0,0,"Y",15000,33000,26,2,25,21
"26","Good","PROF365","SALEM ","TATA INDICA VISTA VX QUADRAJET DIESEL 2012",300000,204250,7657,36,"Y","APPLICANT","O",29,29,3,"PR002",0,45000,11,"Y",5,"N","R",0,0,"0","0","N",2,"N","APPLICANT",1,"MATTHUR","POSITIVE","N","SAL",11,"HITACHI OPERATOR",NA,0,NA,NA,NA,0,0,"Y",10000,35000,22,2,26,22
"27","Bad","PROF235","RAIPUR ","MARUTI SUZUKI SWIFT VDI ABS BS IV DIESEL 2012",470000,374250,9372,60,"Y","SELF","O",10,10,3,"PR005",30,45000,10,"N",5,"N","O",50000,400000,"20","1","Y",2,"N","PURCHASE OF VEHICLE",1,"BILASPUR","POSITIVE","N","SEP",10,"PRPOREITOR",NA,0,NA,NA,NA,0,0,"Y",15000,30000,31,1,27,20
"28","Good","PROF245","MYSORE","MAHINDRA SCORPIO VLX BS III DIESEL 2010",570000,504250,15600,48,"Y","APPLICANT","O",30,30,3,"PR004",45,40000,9,"Y",6,"N","R",2e+05,100000,"35","2","Y",2,"N","PERSONAL USE.",1,"MYSORE","POSITIVE","N","SEP",9,"PARTNER",NA,0,NA,NA,NA,0,0,"Y",8000,32000,49,2,28,23
"29","Bad","PROF284","MADURAI","CHEVROLET TAVERA B1 10 STR BS III DIESEL 2011",500000,404250,12633,48,"Y","APPLICANT","O",30,30,3,"PR005",0,160000,10,"N",NA,"Y","O",0,0,"0","1","Y",2,"N","APPLICANT",1,"DEVIPATTINAM","POSITIVE","N","SEP",10,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",30000,130000,10,1,29,1
"30","Good","PROF207","BHOPAL","MAHINDRA BOLERO SLE DIESEL 2012",420000,304250,8874,48,"Y","SELF","O",20,20,3,"PR005",0,25000,15,"N",NA,"N","O",25000,0,"0","0","Y",1,"N","PERSONAL USE",1,"BHOPAL ","POSITIVE","N","SEP",15,"PROPRIETOR ",NA,0,NA,NA,NA,0,0,"Y",0,25000,35,2,30,24
"31","Good","PROF247","VIJAYAWADA","MARUTI SUZUKI SWIFT DZIRE ZDI BS IV DIESEL 2013",450000,400000,12167,48,"Y","APPLICANT","O",2,2,3,"PR005",0,60000,5,"N",NA,"N","O",0,0,"0","1","Y",1,"N","VEHICLE",1,"VIJAYAWADA","POSITIVE","N","SEP",3,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",10000,50000,24,2,31,15
"32","Good","PROF235","BHOPAL ","CHEVROLET TAVERA ELITE LS B3 7 STR BS III DIESEL 2012",650000,404250,10612,60,"Y","SELF","O",35,35,3,"PR005",0,90000,10,"N",NA,"Y","O",0,0,"0","9","N",2,"Y","FOR PERSONAL USE",1,"GUNA","POSITIVE","N","SEP",10,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",55000,35000,30,2,32,25
"33","Bad","PROF389","NASIK","TOYOTA FORTUNER 3.0 MT 4X4 DIESEL 2012",2091000,1212500,35360,48,"Y","SELF","O",30,15,3,"PR005",0,8e+05,5,"Y",5,"Y","O",120000,0,"40","5","Y",2,"N","RE FINANCE REQ ON INNOVA",1,"SHIRDI  TAL RAHATA DIST A NAGAR","POSITIVE","N","SEP",5,"PROPRIETOR",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,1,33,26
"34","Bad","PROF326","SALEM ","HYUNDAI I10 SPORTZ 1.2 PETROL 2010",500000,234250,8948,36,"Y","APPLICANT","O",25,20,3,"PR006",0,35000,8,"Y",5,"N","O",0,0,"0","0","N",1,"Y","APPLICANT",1,"SALEM","POSITIVE","N","SEP",5,"OWNER",NA,0,NA,NA,NA,0,0,"Y",11000,24000,37,1,34,22
"35","Bad","PROF204","DELHI","MARUTI SUZUKI SWIFT VDI DIESEL 2015",300000,250000,9237,36,"Y","MOTHER","O",25,25,3,"PR002",0,12000,1,"N",NA,"N","R",0,0,"0","0","Y",2,"N","SELF",1,NA,"POSITIVE","N","SAL",1,"ONLY RESI PD DONE",NA,0,NA,NA,NA,0,0,"Y",0,12000,77,1,35,27
"36","Good","PROF211","LUDHIANA","TATA INDIGO ECS VX DIESEL 2012",300000,210000,7759,36,"Y","HUSBAND ","O",20,12,3,"PR006",0,50000,20,"N",NA,"N","O",0,0,"0","0","N",1,"N","FUNDS TO BE USED BY HUSBAND FOR PERSONAL USE ",1,"LUDHIANA","POSITIVE","N","SEP",12,"HOUSE WIFE",NA,0,NA,NA,NA,0,0,"Y",0,50000,16,2,36,28
"37","Good","PROF256","ORISSA","TATA INDIGO ECS LX DIESEL 2012",600000,234250,8655,36,"Y","SELF","O",25,25,3,"PR005",0,45000,25,"N",5,"N","O",0,0,"0","3","Y",1,"N","APPLICANT",1,"GOPALPUR","POSITIVE","N","SEP",25,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",0,45000,19,2,37,29
"38","Bad","PROF235","INDORE ","MAHINDRA XUV500 W8 DIESEL 2014",1280000,1008499,24000,60,"Y","SELF","O",40,25,3,"PR005",25,80000,30,"Y",5,"N","O",5e+06,1000000,"20","8","Y",2,"N","BUSINESS EXPOANSION",1,"INDORE ","POSITIVE","N","SEP",30,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",20000,60000,40,1,38,18
"39","Good","PROF229","HYDERABAD ","SKODA RAPID AMBITION 1.6 TDI MT DIESEL 2013",550000,500000,13246,60,"Y","APPLICANT ","O",30,25,3,"PR001",0,103921,13,"Y",5,"N","O",0,0,"0","0","N",1,"N","PERSONAL USE",1,NA,"POSITIVE","N","SAL",13,"PANCHAYATRAJ SECRETRY",NA,0,NA,NA,NA,0,0,"Y",90000,13921,99,2,39,30
"40","Good","PROF286","INDORE ","HYUNDAI EON ERA PLUS PETROL 2016",350000,304250,10142,48,"Y","APPLICANT","O",20,20,3,"PR001",0,25000,4,"Y",5,"N","O",0,0,"0","0","Y",1,"N","PERSONAL USE",1,"INDORE","POSITIVE","N","SAL",4,"SINGLE WINDOW OPERATOR",NA,0,NA,NA,NA,0,0,"Y",2000,23000,44,2,40,18
"41","Good","PROF025","LUCKNOW","TOYOTA INNOVA 2.5 G1 DIESEL 2010",600000,500000,12917,60,"Y","APPLICANT","O",20,1,3,"PR003",15,540000,12,"Y",1,"Y","O",1666667,5000000,"10","10","Y",2,"N","INVEST IN BUSINESS",1,"LUCKNOW","POSITIVE","N","SEP",4,"DIRECTOR",NA,0,NA,NA,NA,0,0,"Y",200000,340000,4,2,41,31
"42","Bad","PROF096","VISAKHAPATNAM","MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2012",500000,454250,12545,60,"Y","SELF","O",30,12,3,"PR003",0,70000,12,"Y",1,"Y","O",0,0,"0","1","Y",1,"N","SELF",1,"VIZAG","POSITIVE","N","SEP",12,"SELF ",NA,0,NA,NA,NA,0,0,"Y",1000,69000,18,1,42,14
"43","Good","PROF397","AURANGABAD","MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2012",400000,304250,11368,36,"Y","APPLICANT SELF ","O",35,15,3,"PR005",0,85000,10,"Y",1,"Y","O",0,0,"0","4","Y",2,"N","SALE / PURCHASE",1,"JALNA","POSITIVE","N","SEP",10,"PROPRIETOR ",NA,0,NA,NA,NA,0,0,"N",35000,50000,23,2,43,32
"44","Good","PROF109","ORISSA","MARUTI SUZUKI ALTO LXI PETROL 2015",300000,204250,5192,60,"Y","APPLICANT ","R",72,2,3,"PR005",20,50000,5,"Y",5,"N","R",2e+05,0,"15","0","N",1,"Y","GIVEN TO SALER",1,"BHUBANESWAR ","POSITIVE","N","SEP",5,"PROPREITOR ",NA,0,NA,NA,NA,0,0,"Y",19500,30500,28,2,44,29
"45","Bad","PROF376","KOLHAPUR","MARUTI SUZUKI ALTO K10 VXI PETROL 2012",270000,238850,6463,60,"Y","SELF APPLICANT MET","R",5,2,3,"PR001",0,60000,20,"N",NA,"N","R",0,0,"0","0","N",2,"N","RE FINANCE CASE VEHICLE USED FOR PERSONEL PURPOSE.",1,"NIPPANI","POSITIVE","N","SAL",20,"TEACHER",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,1,45,11
"46","Good","PROF209","COIMBATORE ","RENAULT DUSTER RXL DIESEL 110 DIESEL 2014",900000,704250,19450,60,"Y","APPLICANT","R",16,16,3,"PR002",0,75000,16,"Y",5,"N","O",0,0,"0","800","Y",2,"N","APPLICANT FAMILY",2,"COIMBATORE","POSITIVE","N","SAL",16,"ASST PROFESSOR MATH",NA,0,NA,NA,NA,0,0,"Y",30000,45000,43,2,46,10
"47","Good","PROF252","VIJAYAWADA","MARUTI SUZUKI ERTIGA VDI DIESEL 2012",550000,500000,15213,48,"Y","APPLICANT","O",21,17,3,"PR008",0,74000,20,"Y",5,"N","O",0,0,"0","0","N",1,"Y","FOR PURCHASE OF VEHICLE",1,"VASTAVAL","POSITIVE","N","AGR",20,"FARMER ",NA,0,NA,NA,NA,0,0,"Y",25000,49000,31,2,47,15
"48","Bad","PROF247","KARIMNAGAR","MARUTI SUZUKI SWIFT VDI DIESEL 2009",300000,254250,9711,36,"Y","OWNER","O",35,35,3,"PR006",0,63000,5,"Y",5,"N","O",0,0,"0","1","N",1,"Y","OWN",1,"WARANGAL","POSITIVE","N","SEP",5,"OWNER",NA,0,NA,NA,NA,0,0,"Y",11000,52000,19,1,48,33
"49","Good","PROF245","HYDERABAD ","MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2014",650000,550000,15813,48,"Y","APPLICANT","O",25,20,3,"PR005",0,80000,11,"Y",5,"Y","O",0,0,"0","3","N",1,"N","BUSINESS INVESTMENT PURPOSE",1,NA,"POSITIVE","N","SEP",11,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",25000,55000,29,2,49,30
"50","Bad","PROF227","CHENNAI I","HYUNDAI I10 MAGNA PETROL 2008",280000,180000,14436,14,"Y","HIRER","R",2,1,3,"PR002",0,30400,5,"Y",3,"N","R",0,0,"0","0","N",2,"N","CAR PURCHASE",1,"CHENNAI","POSITIVE","N","SAL",2,"SR PROCESS ASSOCIATE",NA,0,NA,NA,NA,0,0,"Y",13000,17400,83,1,50,12
"51","Good","PROF109","TIRUNELVELI","TOYOTA INNOVA 2.5 G1 BS IV DIESEL 2010",1000000,708500,20665,48,"Y","COAPPLICANT","O",25,25,3,"PR005",45,5e+05,30,"Y",5,"N","O",1e+07,1000000,"35","0","N",2,"N","APPLICANT",1,"MARTHANDAM","POSITIVE","N","SEP",30,"PROPIRATOR",NA,0,NA,NA,NA,0,0,"Y",0,500000,4,2,51,34
"52","Good","PROF250","NAGPUR","AUDI A4 2.0 TDI MULTITRONIC DIESEL 2012",2049000,1008500,30558,48,"Y","APPLICANT","O",26,26,3,"PR006",20,75000,3,"Y",4,"Y","O",5e+05,0,"15","10","Y",2,"N","APPLICANT",1,"NAGPUR","POSITIVE","N","SEP",3,"CARE TAKER",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,2,52,3
"53","Good","PROF355","COIMBATORE ","MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2011",550000,450000,14063,48,"Y","PROPERTIOR","O",30,30,3,"PR005",50,85000,4,"Y",5,"N","R",0,0,"50","0","Y",2,"N","APPLICANT",1,"ERODE","POSITIVE","N","SEP",4.5,"PROPERTIOR",NA,0,NA,NA,NA,0,0,"Y",0,85000,17,2,53,10
"54","Bad","PROF204","PUNE","HONDA CITY 1.5 V MT PETROL 2009",522000,304250,9128,48,"Y","SELF ","R",5,0.6,3,"PR003",0,5e+05,0.8,"Y",1,"N","L",0,0,"0","0","Y",2,"N","FOR PURCHASED USED CAR ",1,"PUNE","POSITIVE","N","SEP",0.8,"DIRECTOR",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,1,54,7
"55","Good","PROF096","VIJAYAWADA","HYUNDAI VERNA VGT CRDI SX DIESEL 2010",410000,364250,10928,48,"Y","APPLICANT","R",20,20,3,"PR005",0,1e+05,15,"Y",5,"N","R",0,0,"0","0","N",1,"Y","OWN PURPUS",1,"NELLORE","POSITIVE","N","SEP",15,"APPLICANT",NA,0,NA,NA,NA,0,0,"Y",35000,65000,17,2,55,15
"56","Bad","PROF382","HUBLI","CHEVROLET SPARK LT 1.0 PETROL 2012",300000,234250,7223,48,"Y","APPLICANT","O",15,10,3,"PR005",0,105000,13,"N",5,"N","O",1e+05,0,"0","3","Y",1,"N","APPLICANT",4,"BIJAPUR","POSITIVE","N","SEP",13,"OWNER",NA,0,NA,NA,NA,0,0,"Y",15000,90000,8,1,56,35
"57","Bad","CP_004","GWALIOR ","MAHINDRA BOLERO PLUS AC DIESEL 2013",527000,354250,9999,60,"Y","SELF","O",30,30,3,"PR005",0,10000,10,"Y",5,"N","O",40000,0,"0","2","Y",2,"N","PURCHACE OLD VEHICLE",1,"RAHATGARH","POSITIVE","N","SEP",10,"PROPRITOR",NA,0,NA,NA,NA,0,0,"Y",1000,9000,111,1,57,21
"58","Good","PROF261","ORISSA","MAHINDRA XUV 500 W6 2012",1650000,658500,33063,24,"Y","SELF","O",40,40,3,"PR005",10,90000,15,"N",1,"N","O",1e+05,800000,"7","5","Y",2,"N","APPLICANT",1,NA,"POSITIVE","N","SEP",15,"PROPRETIOR",NA,0,NA,NA,NA,0,0,"Y",10000,80000,41,2,58,29
"59","Bad","PROF322","MADURAI","TOYOTA INNOVA 2.5 VX 8 STR BS III DIESEL 2010",1500000,700000,19332,60,"Y","APPLICANT ","O",10,5,3,"PR005",0,50000,4,"Y",5,"N","O",0,0,"0","21","Y",1,"N","OWN USE",1,NA,"POSITIVE","N","SEP",4,"PROPRIETOR ",NA,0,NA,NA,NA,0,0,"Y",0,50000,39,1,59,1
"60","Bad","PROF375","CHENNAI I","SKODA RAPID 1.6 TDI MT AMBITION PLUS DIESEL 2013",1000000,630000,17047,60,"Y","BORROWER ","O",20,20,3,"PR005",0,1e+05,4,"Y",5,"Y","O",0,0,"0","4","Y",2,"N","APPLICANT",1,"CHENNAI","POSITIVE","N","SEP",4,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,1,60,12
"61","Good","PROF211","RAJKOT","MAHINDRA XUV500 W8 DIESEL 2012",1000000,554250,19898,36,"Y","SELF","O",35,35,3,"PR005",0,80000,20,"Y",5,"N","O",0,0,"0","2","N",1,"Y","PERSONAL",1,"SONGADH","POSITIVE","N","SEP",8,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,2,61,36
"62","Bad","PROF257","MYSORE","MARUTI SUZUKI ERTIGA VDI DIESEL 2012",590000,494250,13386,60,"Y","SELF","O",26,26,3,"PR006",0,350000,5,"N",NA,"N","R",0,0,"0","10","Y",2,"N","PURCHASE OF VEHICLE",1,"KUNDAPURA","POSITIVE","N","SEP",5,"SELF",NA,0,NA,NA,NA,0,0,"Y",200000,150000,9,1,62,23
"63","Good","PROF046","HUBLI","MAHINDRA BOLERO LX DIESEL 2009",350000,304250,11621,36,"Y","APPLICANT","O",5,10,3,"PR005",0,40000,6,"N",6,"N","O",4e+05,0,"0","30","Y",1,"Y","APPLICANT FOR PERSONAL USAGE",1,"DHARWAD","POSITIVE","N","SEP",7,"LABOUR CONTRACTOR",NA,0,NA,NA,NA,0,0,"Y",10000,30000,39,2,63,35
